# panacus histgrowth ecoli2146.pan.explode.0.og.crush.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
407	36391757	0	NaN	NaN
408	36432696	0	NaN	NaN
409	36473588	0	NaN	NaN
410	36514433	0	NaN	NaN
411	36555231	0	NaN	NaN
412	36595982	0	NaN	NaN
413	36636687	0	NaN	NaN
414	36677346	0	NaN	NaN
415	36717959	0	NaN	NaN
416	36758526	0	NaN	NaN
417	36799047	0	NaN	NaN
418	36839523	0	NaN	NaN
419	36879953	0	NaN	NaN
420	36920338	0	NaN	NaN
421	36960678	0	NaN	NaN
422	37000973	0	NaN	NaN
423	37041224	0	NaN	NaN
424	37081430	0	NaN	NaN
425	37121591	0	NaN	NaN
426	37161708	0	NaN	NaN
427	37201781	0	NaN	NaN
428	37241810	0	NaN	NaN
429	37281795	0	NaN	NaN
430	37321736	0	NaN	NaN
431	37361634	0	NaN	NaN
432	37401489	0	NaN	NaN
433	37441300	0	NaN	NaN
434	37481069	0	NaN	NaN
435	37520794	0	NaN	NaN
436	37560477	0	NaN	NaN
437	37600117	0	NaN	NaN
438	37639714	0	NaN	NaN
439	37679270	0	NaN	NaN
440	37718783	0	NaN	NaN
441	37758254	0	NaN	NaN
442	37797683	0	NaN	NaN
443	37837070	0	NaN	NaN
444	37876416	0	NaN	NaN
445	37915720	0	NaN	NaN
446	37954983	0	NaN	NaN
447	37994205	0	NaN	NaN
448	38033386	0	NaN	NaN
449	38072525	0	NaN	NaN
450	38111624	0	NaN	NaN
451	38150683	0	NaN	NaN
452	38189701	0	NaN	NaN
453	38228678	0	NaN	NaN
454	38267615	0	NaN	NaN
455	38306512	0	NaN	NaN
456	38345370	0	NaN	NaN
457	38384187	0	NaN	NaN
458	38422965	0	NaN	NaN
459	38461703	0	NaN	NaN
460	38500401	0	NaN	NaN
461	38539060	0	NaN	NaN
462	38577680	0	NaN	NaN
463	38616261	0	NaN	NaN
464	38654803	0	NaN	NaN
465	38693307	0	NaN	NaN
466	38731771	0	NaN	NaN
467	38770197	0	NaN	NaN
468	38808584	0	NaN	NaN
469	38846934	0	NaN	NaN
470	38885245	0	NaN	NaN
471	38923518	0	NaN	NaN
472	38961753	0	NaN	NaN
473	38999950	0	NaN	NaN
474	39038109	0	NaN	NaN
475	39076231	0	NaN	NaN
476	39114315	0	NaN	NaN
477	39152362	0	NaN	NaN
478	39190372	0	NaN	NaN
479	39228345	0	NaN	NaN
480	39266280	0	NaN	NaN
481	39304179	0	NaN	NaN
482	39342041	0	NaN	NaN
483	39379866	0	NaN	NaN
484	39417655	0	NaN	NaN
485	39455407	0	NaN	NaN
486	39493123	0	NaN	NaN
487	39530803	0	NaN	NaN
488	39568447	0	NaN	NaN
489	39606055	0	NaN	NaN
490	39643627	0	NaN	NaN
491	39681163	0	NaN	NaN
492	39718663	0	NaN	NaN
493	39756128	0	NaN	NaN
494	39793558	0	NaN	NaN
495	39830952	0	NaN	NaN
496	39868311	0	NaN	NaN
497	39905635	0	NaN	NaN
498	39942923	0	NaN	NaN
499	39980177	0	NaN	NaN
500	40017397	0	NaN	NaN
501	40054581	0	NaN	NaN
502	40091731	0	NaN	NaN
503	40128846	0	NaN	NaN
504	40165927	0	NaN	NaN
505	40202974	0	NaN	NaN
506	40239987	0	NaN	NaN
507	40276965	0	NaN	NaN
508	40313910	0	NaN	NaN
509	40350821	0	NaN	NaN
510	40387698	0	NaN	NaN
511	40424541	0	NaN	NaN
512	40461351	0	NaN	NaN
513	40498127	0	NaN	NaN
514	40534870	0	NaN	NaN
515	40571579	0	NaN	NaN
516	40608256	0	NaN	NaN
517	40644899	0	NaN	NaN
518	40681509	0	NaN	NaN
519	40718087	0	NaN	NaN
520	40754632	0	NaN	NaN
521	40791144	0	NaN	NaN
522	40827623	0	NaN	NaN
523	40864070	0	NaN	NaN
524	40900485	0	NaN	NaN
525	40936867	0	NaN	NaN
526	40973217	0	NaN	NaN
527	41009535	0	NaN	NaN
528	41045820	0	NaN	NaN
529	41082074	0	NaN	NaN
530	41118296	0	NaN	NaN
531	41154487	0	NaN	NaN
532	41190645	0	NaN	NaN
533	41226772	0	NaN	NaN
534	41262868	0	NaN	NaN
535	41298932	0	NaN	NaN
536	41334964	0	NaN	NaN
537	41370966	0	NaN	NaN
538	41406936	0	NaN	NaN
539	41442876	0	NaN	NaN
540	41478784	0	NaN	NaN
541	41514662	0	NaN	NaN
542	41550508	0	NaN	NaN
543	41586325	0	NaN	NaN
544	41622110	0	NaN	NaN
545	41657865	0	NaN	NaN
546	41693589	0	NaN	NaN
547	41729283	0	NaN	NaN
548	41764947	0	NaN	NaN
549	41800581	0	NaN	NaN
550	41836184	0	NaN	NaN
551	41871758	0	NaN	NaN
552	41907301	0	NaN	NaN
553	41942815	0	NaN	NaN
554	41978299	0	NaN	NaN
555	42013753	0	NaN	NaN
556	42049177	0	NaN	NaN
557	42084572	0	NaN	NaN
558	42119938	0	NaN	NaN
559	42155274	0	NaN	NaN
560	42190581	0	NaN	NaN
561	42225858	0	NaN	NaN
562	42261107	0	NaN	NaN
563	42296326	0	NaN	NaN
564	42331517	0	NaN	NaN
565	42366678	0	NaN	NaN
566	42401811	0	NaN	NaN
567	42436915	0	NaN	NaN
568	42471990	0	NaN	NaN
569	42507037	0	NaN	NaN
570	42542055	0	NaN	NaN
571	42577045	0	NaN	NaN
572	42612006	0	NaN	NaN
573	42646939	0	NaN	NaN
574	42681844	0	NaN	NaN
575	42716720	0	NaN	NaN
576	42751569	0	NaN	NaN
577	42786390	0	NaN	NaN
578	42821182	0	NaN	NaN
579	42855947	0	NaN	NaN
580	42890684	0	NaN	NaN
581	42925393	0	NaN	NaN
582	42960075	0	NaN	NaN
583	42994729	0	NaN	NaN
584	43029356	0	NaN	NaN
585	43063955	0	NaN	NaN
586	43098527	0	NaN	NaN
587	43133072	0	NaN	NaN
588	43167589	0	NaN	NaN
589	43202079	0	NaN	NaN
590	43236543	0	NaN	NaN
591	43270979	0	NaN	NaN
592	43305388	0	NaN	NaN
593	43339771	0	NaN	NaN
594	43374126	0	NaN	NaN
595	43408455	0	NaN	NaN
596	43442758	0	NaN	NaN
597	43477033	0	NaN	NaN
598	43511282	0	NaN	NaN
599	43545505	0	NaN	NaN
600	43579702	0	NaN	NaN
601	43613872	0	NaN	NaN
602	43648015	0	NaN	NaN
603	43682133	0	NaN	NaN
604	43716225	0	NaN	NaN
605	43750290	0	NaN	NaN
606	43784329	0	NaN	NaN
607	43818343	0	NaN	NaN
608	43852331	0	NaN	NaN
609	43886293	0	NaN	NaN
610	43920229	0	NaN	NaN
611	43954139	0	NaN	NaN
612	43988024	0	NaN	NaN
613	44021884	0	NaN	NaN
614	44055718	0	NaN	NaN
615	44089526	0	NaN	NaN
616	44123309	0	NaN	NaN
617	44157067	0	NaN	NaN
618	44190800	0	NaN	NaN
619	44224508	0	NaN	NaN
620	44258190	0	NaN	NaN
621	44291848	0	NaN	NaN
622	44325480	0	NaN	NaN
623	44359088	0	NaN	NaN
624	44392670	0	NaN	NaN
625	44426228	0	NaN	NaN
626	44459761	0	NaN	NaN
627	44493270	0	NaN	NaN
628	44526754	0	NaN	NaN
629	44560213	0	NaN	NaN
630	44593648	0	NaN	NaN
631	44627059	0	NaN	NaN
632	44660445	0	NaN	NaN
633	44693806	0	NaN	NaN
634	44727144	0	NaN	NaN
635	44760457	0	NaN	NaN
636	44793746	0	NaN	NaN
637	44827012	0	NaN	NaN
638	44860253	0	NaN	NaN
639	44893470	0	NaN	NaN
640	44926663	0	NaN	NaN
641	44959833	0	NaN	NaN
642	44992978	0	NaN	NaN
643	45026100	0	NaN	NaN
644	45059198	0	NaN	NaN
645	45092273	0	NaN	NaN
646	45125324	0	NaN	NaN
647	45158351	0	NaN	NaN
648	45191355	0	NaN	NaN
649	45224336	0	NaN	NaN
650	45257293	0	NaN	NaN
651	45290227	0	NaN	NaN
652	45323138	0	NaN	NaN
653	45356026	0	NaN	NaN
654	45388890	0	NaN	NaN
655	45421731	0	NaN	NaN
656	45454550	0	NaN	NaN
657	45487345	0	NaN	NaN
658	45520118	0	NaN	NaN
659	45552867	0	NaN	NaN
660	45585594	0	NaN	NaN
661	45618298	0	NaN	NaN
662	45650980	0	NaN	NaN
663	45683638	0	NaN	NaN
664	45716275	0	NaN	NaN
665	45748888	0	NaN	NaN
