# panacus histgrowth ecoli2146.pan.explode.0.og.crush.og.2013.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
544	41668238	789953	4187437	7015350
545	41704003	788413	4185210	7019130
546	41739738	786875	4187432	7022900
547	41775443	785341	4185213	7026658
548	41811118	783811	4187427	7030406
549	41846764	782283	4185216	7034143
550	41882379	780759	4187423	7037870
551	41917966	779238	4185219	7004363
552	41953522	777720	4187418	7008109
553	41989050	776206	4185222	7011845
554	42024547	774695	4187414	7015571
555	42060016	773187	4185225	7019286
556	42095456	771682	4187410	7022991
557	42130866	770181	4185229	7026686
558	42166247	768682	4187405	7030370
559	42201600	767187	4185232	7034043
560	42236923	765695	4187401	7037707
561	42272218	764207	4185235	7004767
562	42307484	762721	4187397	7008450
563	42342722	761239	4185238	7012123
564	42377930	759759	4187393	7015785
565	42413111	758283	4185241	7019438
566	42448263	756810	4187388	7023080
567	42483387	755340	4185244	7026713
568	42518482	753873	4187384	7030335
569	42553549	752409	4185247	7033947
570	42588588	750949	4187380	7037550
571	42623600	749491	4185249	7005158
572	42658583	748037	4187376	7008779
573	42693538	746585	4185252	7012391
574	42728466	745137	4187372	7015992
575	42763365	743691	4185255	7019584
576	42798237	742249	4187368	7023167
577	42833082	740810	4185258	7026739
578	42867899	739373	4187364	7030302
579	42902689	737940	4185261	7033855
580	42937451	736510	4187361	7037398
581	42972186	735082	4185264	7005536
582	43006894	733658	4187357	7009098
583	43041574	732237	4185267	7012650
584	43076228	730818	4187353	7016193
585	43110854	729403	4185270	7019726
586	43145454	727990	4187349	7023250
587	43180026	726581	4185273	7026765
588	43214572	725174	4187346	7030270
589	43249091	723771	4185276	7033766
590	43283584	722370	4187342	7037253
591	43318050	720972	4185279	7005902
592	43352489	719577	4187338	7009406
593	43386902	718185	4185281	7012901
594	43421289	716796	4187335	7016387
595	43455649	715409	4185284	7019864
596	43489983	714026	4187331	7023332
597	43524291	712645	4185287	7026790
598	43558572	711267	4187328	7030240
599	43592828	709892	4185290	7033681
600	43627057	708520	4187324	7037112
601	43661261	707151	4185293	7006256
602	43695439	705785	4187321	7009704
603	43729591	704421	4185296	7013144
604	43763717	703060	4187317	7016575
605	43797818	701702	4185298	7019997
606	43831893	700347	4187314	7023410
607	43865942	698994	4185301	7026815
608	43899966	697645	4187311	7030211
609	43933965	696298	4185304	7033598
610	43967938	694954	4187307	7036976
611	44001886	693612	4185307	7006598
612	44035809	692273	4187304	7009993
613	44069707	690937	4185309	7013379
614	44103579	689604	4187301	7016757
615	44137427	688274	4185312	7020126
616	44171249	686946	4187298	7023487
617	44205047	685621	4185315	7026839
618	44238820	684298	4187294	7030183
619	44272568	682978	4185318	7033518
620	44306291	681661	4187291	7036844
